w1gmag,w1gerr,w2gmag,w2gerr,w3gmag,w3gerr,w1mag_2,w1sigm_2,w2mag_2,w2sigm_2,w3mag_2,w3sigm_2,w1gflg,w1flg_2,w2gflg,w2flg_2,w3gflg,w3flg_2,fiberMag_g,fiberMagErr_g,fiberMag_r,fiberMagErr_r,cc_flags
13.089,0.008,12.933,0.018,9.611,0.023,13.164,0.008,13.015,0.018,9.722,0.024,1.0,1.0,1.0,1.0,1.0,1.0,18.56984,0.006460923,17.91897,0.005364664,0000
12.914,0.007,12.69,0.015,9.331,0.018,12.885,0.008,12.654,0.016,9.261,0.019,1.0,1.0,1.0,1.0,1.0,1.0,18.64132,0.006853281,17.88613,0.005221788,0000
13.268,0.007,13.16,0.017,9.785,0.013,13.375,0.008,13.273,0.017,9.923,0.013,0.0,0.0,0.0,0.0,0.0,0.0,18.23548,0.005146887,17.88694,0.005089924,0000
13.817,0.014,13.765,0.035,10.833,0.058,13.889,0.014,13.833,0.037,10.902,0.061,0.0,0.0,0.0,0.0,0.0,0.0,19.50265,0.01526415,18.76571,0.01503804,0000
13.74,0.012,13.695,0.025,10.777,0.073,13.685,0.012,13.637,0.026,10.694,0.073,1.0,1.0,1.0,1.0,1.0,1.0,1e+20,1e+20,1e+20,1e+20,0000
12.798,0.007,12.703,0.013,10.058,0.024,12.864,0.007,12.777,0.013,10.164,0.025,1.0,0.0,1.0,0.0,0.0,0.0,1e+20,1e+20,1e+20,1e+20,0000
12.725,0.007,12.514,0.013,8.713,0.012,12.792,0.007,12.584,0.013,8.801,0.012,1.0,1.0,1.0,1.0,1.0,1.0,18.2335,0.005163836,17.66204,0.004732924,0000
13.705,0.01,13.688,0.032,10.555,0.033,13.726,0.01,13.707,0.032,10.581,0.033,1.0,1.0,1.0,1.0,1.0,1.0,18.91255,0.007254425,18.40174,0.006752235,0000
13.894,0.014,13.851,0.022,10.729,0.067,13.868,0.014,13.817,0.023,10.679,0.068,1.0,1.0,1.0,1.0,1.0,1.0,19.48481,0.0110047,18.73659,0.008555519,0000
12.424,0.007,12.343,0.042,9.178,0.014,12.569,0.007,12.501,0.048,9.389,0.015,1.0,1.0,1.0,1.0,1.0,1.0,1e+20,1e+20,1e+20,1e+20,0000
